嚴重|ㄧㄢˊ ㄓㄨㄥˋ|grave; serious; severe; critical.
顏色|ㄧㄢˊ ㄙㄜˋ|color; countenance; appearance; facial expression; pigment; dyestuff.
眼鏡|ㄧㄢˇ ㄐㄧㄥˋ|spectacles; eyeglasses; CL:副[fu4].
眼睛|ㄧㄢˇ ㄐㄧㄥ˙|eye; CL:隻/只[zhi1],雙/双[shuang1].
廣告|ㄍㄨㄤˇ ㄍㄠˋ|to advertise; a commercial; advertisement; CL:項/项[xiang4].
鹽|ㄧㄢˊ|salt; CL:粒[li4].
壓力|ㄧㄚ ㄌㄧˋ|pressure.
學校|ㄒㄩㄝˊ ㄒㄧㄠˋ|school; CL:所[suo3].
學習|ㄒㄩㄝˊ ㄒㄧˊ|to learn; to study.
學生|ㄒㄩㄝˊ ㄕㄥ˙|student; schoolchild.
學|ㄒㄩㄝˊ|to learn; to study; to imitate; science; -ology.
雪|ㄒㄩㄝˇ|surname Xue.
雪|ㄒㄩㄝˇ|snow; CL:場/场[chang2]; (literary) to wipe away (a humiliation etc).
選擇|ㄒㄩㄢˇ ㄗㄜˊ|to select; to pick; choice; option; alternative.
需要|ㄒㄩ ㄧㄠˋ|to need; to want; to demand; to require; requirement; need.
休息|ㄒㄧㄡ ㄒㄧ˙|rest; to rest.
熊貓|ㄒㄩㄥˊ ㄇㄠ|panda; CL:隻/只[zhi1].
兄弟姐妹|ㄒㄩㄥ ㄉㄧˋ ㄐㄧㄝˇ ㄇㄟˋ|brothers and sisters; siblings.
星星|ㄒㄧㄥ ㄒㄧㄥ˙|star in the sky.
興趣|ㄒㄧㄥˋ ㄑㄩˋ|interest (desire to know about sth); interest (thing in which one is interested); hobby; CL:個/个[ge4].
星期|ㄒㄧㄥ ㄑㄧ|week; CL:個/个[ge4]; day of the week; Sunday.
行李|ㄒㄧㄥˊ ㄌㄧ˙|luggage; CL:件[jian4].
姓|ㄒㄧㄥˋ|family name; surname; CL:個/个[ge4]; to be surnamed.
行|ㄏㄤˊ|row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column.
行|ㄒㄧㄥˊ|to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense.
信用卡|ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ|credit card.
信心|ㄒㄧㄣˋ ㄒㄧㄣ|confidence; faith (in sb or sth); CL:個/个[ge4].
新鮮|ㄒㄧㄣ ㄒㄧㄢ|fresh (experience, food etc); freshness; novel; uncommon.
新聞|ㄒㄧㄣ ㄨㄣˊ|news; CL:條/条[tiao2],個/个[ge4].
新年|ㄒㄧㄣ ㄋㄧㄢˊ|New Year; CL:個/个[ge4].
辛苦|ㄒㄧㄣ ㄎㄨˇ|exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s).
信號|ㄒㄧㄣˋ ㄏㄠˋ|signal.
新|ㄒㄧㄣ|abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin.
新|ㄒㄧㄣ|new; newly; meso- (chemistry).
鞋子|ㄒㄧㄝˊ ㄗ˙|shoe.
協議|ㄒㄧㄝˊ ㄧˋ|agreement; pact; protocol; CL:項/项[xiang4].
謝謝|ㄒㄧㄝˋ ㄒㄧㄝ˙|to thank; thanks; thank you.
些|ㄒㄧㄝ|classifier indicating a small amount or small number greater than 1: some, a few, several.
寫|ㄒㄧㄝˇ|to write.
小學|ㄒㄧㄠˇ ㄒㄩㄝˊ|elementary school; primary school; CL:個/个[ge4].
小心|ㄒㄧㄠˇ ㄒㄧㄣ|to be careful; to take care.
小時|ㄒㄧㄠˇ ㄕˊ|hour; CL:個/个[ge4].
小籠包|ㄒㄧㄠˇ ㄌㄨㄥˊ ㄅㄠ|steamed dumpling.
小姐|ㄒㄧㄠˇ ㄐㄧㄝ˙|young lady; miss; (slang) prostitute; CL:個/个[ge4],位[wei4].
小費|ㄒㄧㄠˇ ㄈㄟˋ|tip; gratuity.
校長|ㄒㄧㄠˋ ㄓㄤˇ|(college, university) president; headmaster; CL:個/个[ge4],位[wei4],名[ming2].
小|ㄒㄧㄠˇ|small; tiny; few; young.
笑|ㄒㄧㄠˋ|laugh; smile; CL:個/个[ge4].
相信|ㄒㄧㄤ ㄒㄧㄣˋ|to be convinced (that sth is true); to believe; to accept sth as true.
項目|ㄒㄧㄤˋ ㄇㄨˋ|item; project; (sports) event; CL:個/个[ge4].
香蕉|ㄒㄧㄤ ㄐㄧㄠ|banana; CL:枝[zhi1],根[gen1],個/个[ge4],把[ba3].
香港|ㄒㄧㄤ ㄍㄤˇ|Hong Kong.
想|ㄒㄧㄤˇ|to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth).
向|ㄒㄧㄤˋ|surname Xiang.
向|ㄒㄧㄤˋ|towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...
像|ㄒㄧㄤˋ|to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.).
現在|ㄒㄧㄢˋ ㄗㄞˋ|now; at present; at the moment; modern; current; nowadays.
先生|ㄒㄧㄢ ㄕㄥ˙|teacher; husband; doctor (dialect); CL:位[wei4]; Mister (Mr.).
現金|ㄒㄧㄢˋ ㄐㄧㄣ|cash.
咸|ㄒㄧㄢˊ|surname Xian.
咸|ㄒㄧㄢˊ|all; everyone; each; widespread; harmonious.
先|ㄒㄧㄢ|early; prior; former; in advance; first.
下載|ㄒㄧㄚˋ ㄗㄞˇ|to download; also pr. [xia4 zai4].
下午|ㄒㄧㄚˋ ㄨˇ|afternoon; CL:個/个[ge4]; p.m.
下面|ㄒㄧㄚˋ ㄇㄧㄢˋ|below; under; next; the following; also pr. [xia4 mian5].
下課|ㄒㄧㄚˋ ㄎㄜˋ|to finish class; to get out of class; (fig.) (esp. of a sports coach) to be dismissed; to be fired.
下班|ㄒㄧㄚˋ ㄅㄢ|to finish work; to get off work.
下|ㄒㄧㄚˋ|down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action.
夏|ㄒㄧㄚˋ|the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia.
夏|ㄒㄧㄚˋ|summer.
洗澡|ㄒㄧˇ ㄗㄠˇ|to bathe; to take a shower.
希望|ㄒㄧ ㄨㄤˋ|to wish for; to desire; hope; CL:個/个[ge4].
洗手間|ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ|toilet; lavatory; washroom.
喜歡|ㄒㄧˇ ㄏㄨㄢ˙|to like; to be fond of.
習慣|ㄒㄧˊ ㄍㄨㄢˋ|habit; custom; usual practice; to be used to; CL:個/个[ge4].
西瓜|ㄒㄧ ㄍㄨㄚ|watermelon; CL:顆/颗[ke1],粒[li4],個/个[ge5].
西邊|ㄒㄧ ㄅㄧㄢ|west; west side; western part; to the west of.
西班牙語|ㄒㄧ ㄅㄢ ㄧㄚˊ ㄩˇ|Spanish language.
西班牙|ㄒㄧ ㄅㄢ ㄧㄚˊ|Spain.
西安|ㄒㄧ ㄢ|Xi'an, sub-provincial city and capital of Shaanxi 陝西省/陕西省[Shan3 xi1 Sheng3] in northwest China; see 西安區/西安区[Xi1 an1 Qu1].
洗|ㄒㄧˇ|to wash; to bathe; to develop (photo).
誤會|ㄨˋ ㄏㄨㄟˋ|to misunderstand; to mistake; misunderstanding; CL:個/个[ge4].
午飯|ㄨˇ ㄈㄢˋ|lunch; CL:份[fen4],頓/顿[dun4],次[ci4],餐[can1].
五|ㄨˇ|five; 5.
我們|ㄨㄛˇ ㄇㄣ˙|we; us; ourselves; our.
我|ㄨㄛˇ|I; me; my.
問題|ㄨㄣˋ ㄊㄧˊ|question; problem; issue; topic; CL:個/个[ge4].
文化|ㄨㄣˊ ㄏㄨㄚˋ|culture; civilization; cultural; CL:個/个[ge4],種/种[zhong3].
溫度|ㄨㄣ ㄉㄨˋ|temperature; CL:個/个[ge4].
問|ㄨㄣˋ|to ask; to inquire.
微信|ㄨㄟ ㄒㄧㄣˋ|Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊/腾讯[Teng2 xun4]).
為什麼|ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙|why?; for what reason?.
為了|ㄨㄟˋ ㄌㄜ˙|in order to; for the purpose of; so as to.
味道|ㄨㄟˋ ㄉㄠ˙|flavor; smell; hint of.
微博|ㄨㄟ ㄅㄛˊ|microblogging; microblog.
餵|ㄨㄟˋ|to feed.
為|ㄨㄟˊ|as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice).
為|ㄨㄟˋ|because of; for; to.
位|ㄨㄟˋ|position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential.
網球|ㄨㄤˇ ㄑㄧㄡˊ|tennis; tennis ball; CL:個/个[ge4].
忘記|ㄨㄤˋ ㄐㄧˋ|to forget.
忘|ㄨㄤˋ|to forget; to overlook; to neglect.
往|ㄨㄤˇ|to go (in a direction); to; towards; (of a train) bound for; past; previous.
王|ㄨㄤˊ|surname Wang.
王|ㄨㄤˊ|king or monarch; best or strongest of its type; grand; great.
王|ㄨㄤˋ|to rule; to reign over.
晚上|ㄨㄢˇ ㄕㄤ˙|evening; night; CL:個/个[ge4]; in the evening.
晚飯|ㄨㄢˇ ㄈㄢˋ|evening meal; dinner; supper; CL:份[fen4],頓/顿[dun4],次[ci4],餐[can1].
完成|ㄨㄢˊ ㄔㄥˊ|to complete; to accomplish.
晚安|ㄨㄢˇ ㄢ|Good night!; Good evening!.
玩|ㄨㄢˊ|to play; to have fun; to trifle with; toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to keep sth for entertainment.
碗|ㄨㄢˇ|bowl; cup; CL:隻/只[zhi1],個/个[ge4].
晚|ㄨㄢˇ|evening; night; late.
完|ㄨㄢˊ|to finish; to be over; whole; complete; entire.
外面|ㄨㄞˋ ㄇㄧㄢˋ|outside (also pr. [wai4 mian5] for this sense); surface; exterior; external appearance.
外|ㄨㄞˋ|outside; in addition; foreign; external.
退款|ㄊㄨㄟˋ ㄎㄨㄢˇ|to refund; refund.
退貨|ㄊㄨㄟˋ ㄏㄨㄛˋ|to return merchandise; to withdraw a product.
退房|ㄊㄨㄟˋ ㄈㄤˊ|to check out of a hotel room.
腿|ㄊㄨㄟˇ|leg; CL:條/条[tiao2].
圖書館|ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ|library; CL:家[jia1],個/个[ge4].
突然|ㄊㄨ ㄖㄢˊ|sudden; abrupt; unexpected.
土豪|ㄊㄨˇ ㄏㄠˊ|local tyrant; local strong man; (slang) nouveau riche.
投資|ㄊㄡˊ ㄗ|investment; to invest.
頭髮|ㄊㄡˊ ㄈㄚ˙|hair (on the head).
頭|ㄊㄡˊ|head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個/个[ge4].
頭|ㄊㄡ˙|suffix for nouns.
偷|ㄊㄡ|to steal; to pilfer; to snatch; thief; stealthily.
同意|ㄊㄨㄥˊ ㄧˋ|to agree; to consent; to approve.
同學|ㄊㄨㄥˊ ㄒㄩㄝˊ|to study at the same school; fellow student; classmate; CL:位[wei4],個/个[ge4].
同事|ㄊㄨㄥˊ ㄕˋ|colleague; co-worker; CL:個/个[ge4],位[wei4].
桶|ㄊㄨㄥˇ|bucket; (trash) can; barrel (of oil etc); CL:個/个[ge4],隻/只[zhi1].
停|ㄊㄧㄥˊ|to stop; to halt; to park (a car).
聽|ㄊㄧㄥ|"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages."
聽|ㄊㄧㄥˋ|(literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow.
跳舞|ㄊㄧㄠˋ ㄨˇ|to dance.
條|ㄊㄧㄠˊ|strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc).
天氣|ㄊㄧㄢ ㄑㄧˋ|weather.
甜點|ㄊㄧㄢˊ ㄉㄧㄢˇ|dessert.
甜|ㄊㄧㄢˊ|sweet.
天|ㄊㄧㄢ|day; sky; heaven.
體育館|ㄊㄧˇ ㄩˋ ㄍㄨㄢˇ|gym; gymnasium; stadium; CL:個/个[ge4].
體育|ㄊㄧˇ ㄩˋ|sports; physical education.
提醒|ㄊㄧˊ ㄒㄧㄥˇ|to remind; to call attention to; to warn of.
提高|ㄊㄧˊ ㄍㄠ|to raise; to increase; to improve.
題|ㄊㄧˊ|surname Ti.
題|ㄊㄧˊ|topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個/个[ge4],道[dao4].
踢|ㄊㄧ|to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship).
